transaction_id,user_id,age,amount,payment_method,device,state,hour_of_day,transaction_date,is_new_payee,login_attempts,velocity_1h,fraud_probability,risk_score,risk_category,anomaly_flag,is_fraud
TXN1000000,USR3402,44,169.8,UPI,Mobile,Rajasthan,12,2025-01-11,0,1,1,6.393171309308452e-05,15.69,Low,0,0
TXN1000001,USR3784,49,503.31,UPI,Desktop,Rajasthan,14,2025-03-29,0,2,4,0.0003054951343062653,15.95,Low,0,0
TXN1000002,USR6868,41,1424.01,RTGS,Desktop,Punjab,15,2025-01-01,0,2,1,0.00013718559244209157,15.51,Low,0,0
TXN1000003,USR2789,61,2437.72,Debit Card,Mobile,Gujarat,4,2024-10-15,0,2,4,0.0008928935771085674,22.8,Low,0,0
TXN1000004,USR4406,71,12778.11,NEFT,Desktop,Punjab,23,2025-01-15,1,1,4,0.0028727004747815207,31.36,Medium,1,0
TXN1000005,USR6844,32,5109.04,IMPS,Desktop,Tamil Nadu,11,2024-12-11,0,1,2,0.0001725695732947492,15.47,Low,0,0
TXN1000006,USR6931,57,340.43,Credit Card,Tablet,Punjab,16,2024-10-21,0,1,4,0.00014310151852408212,16.91,Low,0,0
TXN1000007,USR3801,35,53257.16,NEFT,Desktop,Rajasthan,1,2025-01-11,1,2,11,0.999990605159778,97.89,Critical,1,1
TXN1000008,USR5793,30,2068.39,RTGS,Desktop,Telangana,15,2025-01-30,1,2,2,0.00031374330581752084,21.81,Low,0,0
TXN1000009,USR5460,23,2645.64,Debit Card,Desktop,Tamil Nadu,16,2024-12-14,0,2,3,0.0002891579066488215,15.74,Low,0,0
TXN1000010,USR9298,36,3534.81,Credit Card,Mobile,Tamil Nadu,14,2024-12-27,0,2,2,0.0002317062731072851,15.65,Low,0,0
TXN1000011,USR6192,68,59995.44,RTGS,Desktop,Gujarat,6,2025-01-25,1,2,8,0.9999774654531343,92.99,Critical,1,1
TXN1000012,USR2754,38,3505.86,NEFT,Mobile,Punjab,10,2025-01-08,1,2,4,0.000684525466529544,21.05,Low,0,0
TXN1000013,USR4052,21,1114.24,Debit Card,Mobile,Tamil Nadu,10,2025-01-12,0,1,3,0.00013109553430396323,15.57,Low,0,0
TXN1000014,USR9903,43,1055.83,RTGS,Mobile,Karnataka,12,2025-03-01,0,1,4,0.0001762358407771892,15.24,Low,0,0
TXN1000015,USR9462,68,1660.73,Credit Card,ATM,West Bengal,4,2025-02-08,0,1,2,0.00026114499676753493,24.88,Low,0,0
TXN1000016,USR1886,22,5032.17,RTGS,Mobile,Punjab,9,2025-02-27,1,2,1,0.0003482752278011102,22.22,Low,0,0
TXN1000017,USR5890,58,247.85,RTGS,Mobile,Maharashtra,18,2024-11-22,1,1,3,0.00017003638556848793,21.51,Low,0,0
